Year;Region;Farmer;FlowerStrip;Transect;PlantSp;Ploidy;Fieldsize;Flowers;zFlowers;zFlowersFS;Striparea;zStriparea;plCROP1km;rounds;logrounds;Species;Bumblebees;longt;shortt;ca;di;ho;la;mu;oh;pa;pr;rd;rp;so;su;sy;terag;Honeybees;cwm_tongue;Protapion;TotalProtapion;logWFlowers;Parasitoids;Hayield;mlongt;mshortt;mHoneybees;ProtapionDensity;HBcol_ha
2010;M;4;N;interior;tripra;2n;7,2;257;15,2626812;17,687037;;;0,420159364;4;1,386294361;5;46;1;27;0;0;0;4;0;0;1;0;0;0;1;0;0;40;23;6,24884058;5;9;5,480638923;4;371,25;0,25;6,75;5,75;0,0375;0
2010;M;4;N;edge;tripra;2n;7,2;210;3,5126812;5,937037;;;0,420159364;4;1,386294361;6;26;7;11;0;0;3;4;0;3;4;0;0;0;1;0;0;11;54;5,660779221;21;39;5,480638923;18;420;1,75;2,75;13,5;0,1625;0
2010;M;5;Y;interior;tripra;4n;6,1;155,7;-0,3764167;-1,2366987;660;-175,23;0,646444414;4;1,386294361;6;42;16;24;0;0;2;7;2;2;0;0;0;0;0;12;1;16;1;7,513414634;1034;1111;4,787491743;77;88,75;4;6;0,25;9,258333333;0,491803279
2010;M;5;Y;edge;tripra;4n;6,1;234;19,1985833;18,3383013;660;-175,23;0,646444414;4;1,386294361;8;46;9;36;0;0;2;13;2;0;1;0;0;1;0;4;3;20;1;6,902978723;705;858;4,787491743;153;66,25;2,25;9;0,25;7,15;0,491803279
2010;E;6;Y;interior;tripra;2n;7;175,5;-5,1123188;-2,687963;1000;-431,11;0,144281383;4;1,386294361;8;30;9;15;0;1;6;0;0;0;1;0;0;0;1;1;1;19;10;7,095;0;0;4,779123493;0;275;2,25;3,75;2,5;0;0,857142857
2010;E;6;Y;edge;tripra;2n;7;187;-2,2373188;0,187037;1000;-431,11;0,144281383;4;1,386294361;4;14;2;8;0;1;1;0;0;0;0;0;0;0;0;0;0;12;12;6,303461538;0;0;4,762173935;0;332,5;0,5;2;3;0;0,857142857
2010;E;7;Y;interior;tripra;2n;15;289;8,8126812;11,237037;1800;368,89;0,547969003;5;1,609437912;4;33;0;27;0;0;0;3;0;0;0;0;0;0;2;0;0;28;5;6,580789474;0;1;4,744932128;1;43,75;0;5,4;1;0,008695652;1,333333333
2010;E;7;Y;edge;tripra;2n;15;262,75;3,5626812;5,987037;1800;368,89;0,547969003;5;1,609437912;5;30;1;22;0;0;0;7;1;0;0;0;0;0;2;0;0;20;7;6,410540541;0;2;4,753590191;2;68,75;0,2;4,4;1,4;0,017241379;1,333333333
2010;E;8;N;interior;tripra;2n;10;314,75;13,9626812;16,387037;;;0,64927217;5;1,609437912;6;47;2;37;0;1;0;8;0;0;0;0;0;0;3;1;0;34;65;5,759642857;0;5;4,787491743;5;273,75;0,4;7,4;13;0,041666667;0
2010;E;8;N;edge;tripra;2n;10;319,75;14,9626812;17,387037;;;0,64927217;5;1,609437912;5;35;2;33;0;0;0;4;0;0;0;0;1;0;2;2;0;26;49;5,893333333;0;4;4,736198448;4;362,5;0,4;6,6;9,8;0,035087719;0
2010;M;25;Y;interior;tripra;4n;8;179,25;5,5110833;4,6508013;125;-710,23;0,435356242;4;1,386294361;2;14;0;12;0;0;0;2;0;2;0;0;0;0;0;0;0;10;0;6,836666667;637;752;5,480638923;115;115;0;3;0;3,133333333;0,375
